xtrapLocationID,cycle,xtrapStation,trapType,lureID,lureStartMass,lureStopMass,maleCRB,femaleCRB,note
LeoPalace,4,2,T-UV-RL,LeoPalace Cycle4 T-UV-RL,1178.0,1167.0,0,0,
LeoPalace,4,3,T-RL,LeoPalace Cycle4 T-RL,1177.0,1163.0,0,0,
LeoPalace,4,4,T,,0.0,0.0,0,0,
LeoPalace,4,5,T-UV-SL,LeoPalace Cycle4 T-UV-SL,2050.0,1845.0,0,0,
LeoPalace,4,6,T-UV,,0.0,0.0,0,0,
LeoPalace,5,1,T-UV-SL,LeoPalace Cycle5 T-UV-SL,2022.0,1768.0,1,2,container cracked; 3 leds lit; dim
LeoPalace,5,2,T-RL,LeoPalace Cycle5 T-RL,1224.0,1194.0,0,0,
LeoPalace,5,3,T-UV-RL,LeoPalace Cycle5 T-UV-RL,1029.0,1020.0,0,0,3 leds lit; bright
LeoPalace,5,4,T-UV,,0.0,0.0,0,0,
LeoPalace,5,5,T,,0.0,0.0,0,0,
LeoPalace,5,6,T-SL,LeoPalace Cycle5 T-SL,2161.0,1937.0,0,0,2 leds lit; bright
LeoPalace,6,1,T-UV,,0.0,0.0,0,0,
LeoPalace,6,2,T-UV-SL,LeoPalace Cycle6 T-UV-SL,2313.0,2091.0,1,0,
LeoPalace,6,3,T-SL,LeoPalace Cycle6 T-SL,2152.0,1943.0,0,0,
LeoPalace,6,4,T-RL,LeoPalace Cycle6 T-RL,1288.0,1259.0,0,0,
LeoPalace,6,5,T-UV-RL,LeoPalace Cycle6 T-UV-RL,1229.0,1200.0,0,0,
LeoPalace,6,6,T,,0.0,0.0,0,0,
Temple,1,1,T-RL,013,2917.0,2270.0,0,0,
Temple,1,2,T-UV,,0.0,0.0,0,0,
Temple,1,3,T,,0.0,0.0,0,0,
Temple,1,4,T-UV-SL,014,3156.0,2524.0,2,1,one battery fell out
Temple,1,5,T-UV-RL,015,2903.0,2299.0,0,0,
Temple,1,6,T-SL,016,2808.0,2157.0,0,0,
Temple,2,1,T-UV-SL,Temple Cycle2 T-UV-SL,2399.0,2086.0,0,0,
Temple,2,2,T-UV-RL,Temple Cycle2 T-UV-RL,2475.0,2231.0,1,0,
Temple,2,3,T-SL,Temple Cycle2 T-SL,2624.0,2338.0,0,0,
Temple,2,4,T,,0.0,0.0,0,0,
Temple,2,5,T-UV,,0.0,0.0,0,0,
Temple,2,6,T-RL,Temple Cycle2 T-RL,2817.0,2614.0,0,0,
Temple,3,1,T-SL,Temple Cycle3 T-SL,2621.0,2543.0,0,0,
Temple,3,2,T-RL,Temple Cycle3 T-RL,1127.0,1120.0,0,0,
Temple,3,3,T-UV-SL,Temple Cycle3 T-UV-SL,2739.0,2665.0,0,0,UV not working; exchanged
Temple,3,4,T-UV-RL,Temple Cycle3 T-UV-RL,1128.0,1123.0,0,0,
Temple,3,5,T,,0.0,0.0,0,0,
Temple,3,6,T-UV,,0.0,0.0,0,0,
Temple,4,1,T-UV,,0.0,0.0,0,0,
Temple,4,2,T,,0.0,0.0,0,0,
Temple,4,3,T-UV-RL,Temple Cycle4 T-UV-RL,1175.0,1166.0,0,0,
Temple,4,4,T-SL,Temple Cycle4 T-SL,2064.0,1881.0,0,0,
Temple,4,5,T-RL,Temple Cycle4 T-RL,1175.0,1167.0,0,0,
Temple,4,6,T-UV-SL,Temple Cycle4 T-UV-SL,2123.0,1943.0,0,0,
Temple,5,1,T-UV-RL,Temple Cycle5 T-UV-RL,1207.0,1186.0,0,0,2 leds lit
Temple,5,2,T-SL,Temple Cycle5 T-SL,1988.0,1802.0,1,0,
Temple,5,3,T-RL,Temple Cycle5 T-RL,1231.0,1204.0,0,0,
Temple,5,4,T-UV,,0.0,0.0,0,0,4 leds lit dim
Temple,5,5,T-UV-SL,Temple Cycle5 T-UV-SL,2055.0,1865.0,0,0,leds not woking; battery loose
Temple,5,6,T,,0.0,0.0,0,0,
Temple,6,1,T,,0.0,0.0,0,0,
Temple,6,2,T-UV-SL,Temple Cycle6 T-UV-SL,2084.0,1868.0,0,0,
Temple,6,3,T-UV,,0.0,0.0,0,0,
Temple,6,4,T-RL,Temple Cycle6 T-RL,1289.0,1261.0,0,0,
Temple,6,5,T-SL,Temple Cycle6 T-SL,2136.0,1936.0,0,0,
Temple,6,6,T-UV-RL,Temple Cycle6 T-UV-RL,1291.0,1269.0,0,0,UV not working when picked up
GICC Dededo Golf Course,1,1,T-RL,GICC Dededo Golf Course Cycle1 T-RL,2355.0,2147.0,1,0,
GICC Dededo Golf Course,1,2,T-UV-RL,GICC Dededo Golf Course Cycle1 T-UV-RL,2484.0,2237.0,0,1,
GICC Dededo Golf Course,1,3,T-UV-SL,GICC Dededo Golf Course Cycle1 T-UV-SL,2389.0,2136.0,3,1,
GICC Dededo Golf Course,1,4,T,,0.0,0.0,0,0,
GICC Dededo Golf Course,1,5,T-SL,GICC Dededo Golf Course Cycle1 T-SL,2336.0,2084.0,1,1,
GICC Dededo Golf Course,1,6,T-UV,,0.0,0.0,0,0,
GICC Dededo Golf Course,2,1,T-UV-RL,GICC Dededo Golf Course Cycle2 T-UV-RL,1096.0,1083.0,1,1,
GICC Dededo Golf Course,2,2,T,,0.0,0.0,0,0,
GICC Dededo Golf Course,2,3,T-SL,GICC Dededo Golf Course Cycle2 T-SL,2800.0,2624.0,0,0,
GICC Dededo Golf Course,2,4,T-UV-SL,GICC Dededo Golf Course Cycle2 T-UV-SL,2790.0,2625.0,0,0,
GICC Dededo Golf Course,2,5,T-UV,,0.0,0.0,0,0,
GICC Dededo Golf Course,2,6,T-RL,GICC Dededo Golf Course Cycle2 T-RL,1131.0,1113.0,0,2,
GICC Dededo Golf Course,3,1,T-UV-SL,GICC Dededo Golf Course Cycle3 T-UV-SL,2249.0,2052.0,0,0,
GICC Dededo Golf Course,3,2,T-UV,,0.0,0.0,0,0,
GICC Dededo Golf Course,3,3,T-RL,GICC Dededo Golf Course Cycle3 T-RL,1167.0,1124.0,0,0,
GICC Dededo Golf Course,3,4,T-UV-RL,GICC Dededo Golf Course Cycle3 T-UV-RL,1171.0,1158.0,0,0,
GICC Dededo Golf Course,3,5,T,,0.0,0.0,0,0,
GICC Dededo Golf Course,3,6,T-SL,GICC Dededo Golf Course Cycle3 T-SL,2429.0,2249.0,1,1,
GICC Dededo Golf Course,4,1,T-SL,GICC Dededo Golf Course Cycle4 T-SL,2329.0,2143.0,1,0,
GICC Dededo Golf Course,4,2,T-UV-SL,GICC Dededo Golf Course Cycle4 T-UV-SL,2054.0,1820.0,0,0,leds ok
GICC Dededo Golf Course,4,3,T-UV,,0.0,0.0,0,0,2 leds lit
GICC Dededo Golf Course,4,4,T-RL,GICC Dededo Golf Course Cycle4 T-RL,1237.0,1216.0,0,0,
